file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250629_152746.csv,31,0.1847109640798261,0.3191001415252685,11,9,11,2.3412676652272544,2.2779170130983046,9,412,0.064516129032258,0.0457856399583766,4.32258064516129,54,Mid,1
gaze_log_20250628_134726.csv,3,0.0878966649373372,0.0972700119018554,1,0,2,20.193684935569763,8.6265150308609,0,47,0.0,0.0,3.0,54,Mid,0
gaze_log_20250628_134040.csv,14,0.1475164209093366,0.2913300991058349,10,0,4,5.27810001373291,8.641511022509144,1,81,0.1428571428571428,0.1326530612244898,3.5,33,Low,0
gaze_log_20250629_123140.csv,34,0.1452891055275412,0.3052902221679687,1,7,26,2.113690304033684,5.6076632693367285,26,46,0.088235294117647,0.0207612456747404,3.088235294117647,71,High,1
gaze_log_20250629_133434.csv,13,0.1279707505152775,0.3191802501678467,4,1,8,5.009391685326894,4.485342258864642,0,107,0.2307692307692307,0.2307692307692307,2.769230769230769,37,Low,0
gaze_log_20250627_112756.csv,13,0.1131616372328538,0.2082102298736572,2,3,8,5.335715850194295,4.158148746682977,0,28,0.1538461538461538,0.1538461538461538,2.6923076923076925,70,High,0
gaze_log_20250629_152948.csv,7,0.2017300128936767,0.5551803112030029,6,1,0,5.255021691322327,3.861640311769379,0,58,0.4285714285714285,0.4285714285714285,4.142857142857143,58,High,2
gaze_log_20250627_114657.csv,22,0.1075786352157592,0.1803498268127441,14,8,0,1.9254328523363389,1.4559531117984432,10,55,0.1818181818181818,0.0991735537190082,1.7272727272727273,54,Mid,1
gaze_log_20250628_125548.csv,42,0.1053245181129092,0.2497498989105224,15,12,15,1.6352919485510848,1.0173406174984592,19,147,0.0952380952380952,0.0521541950113378,3.119047619047619,42,Low,1
gaze_log_20250628_155905.csv,5,0.1582741260528564,0.2497203350067138,2,2,1,11.30928999185562,9.883556626217532,0,55,0.4,0.4,4.2,58,High,0
gaze_log_20250628_132222.csv,7,0.1169987065451485,0.1525702476501464,2,2,3,6.7925483385721845,3.106170985767709,0,50,0.1428571428571428,0.1428571428571428,3.7142857142857135,48,Low,0
gaze_log_20250627_162306.csv,22,0.0969841588627208,0.152829885482788,10,5,7,3.420846178418114,2.817166016658798,4,37,0.1363636363636363,0.1115702479338842,3.0,61,High,0
